event_id,semantic_type,run,seed,status,runtime_ms,done_reason,prompt_eval_count,eval_count,json_valid,schema_valid,validation_reason,abstain,forbidden_markers,candidate_blind_input,output_file,error
EXT_E022,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,7473,stop,876,246,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E022-run1-seed20260820.json,
EXT_E022,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,7410,stop,876,188,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E022-run2-seed20260821.json,
EXT_E022,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,5527,stop,876,193,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E022-run3-seed20260822.json,
EXT_E022,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,5860,stop,876,193,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E022-run4-seed20260823.json,
EXT_E022,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,7634,stop,876,204,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E022-run5-seed20260824.json,
EXT_E023,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,6819,stop,876,230,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E023-run1-seed20260820.json,
EXT_E023,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,7817,stop,876,224,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E023-run2-seed20260821.json,
EXT_E023,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,10217,stop,876,255,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E023-run3-seed20260822.json,
EXT_E023,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,9192,stop,876,255,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E023-run4-seed20260823.json,
EXT_E023,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,6922,stop,876,226,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E023-run5-seed20260824.json,
EXT_E024,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,9214,stop,876,302,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E024-run1-seed20260820.json,
EXT_E024,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,7728,stop,876,232,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E024-run2-seed20260821.json,
EXT_E024,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,7206,stop,876,231,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E024-run3-seed20260822.json,
EXT_E024,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,7077,stop,876,229,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E024-run4-seed20260823.json,
EXT_E024,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,11892,stop,876,303,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E024-run5-seed20260824.json,
EXT_E025,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,6139,stop,908,202,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E025-run1-seed20260820.json,
EXT_E025,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,5437,stop,908,202,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E025-run2-seed20260821.json,
EXT_E025,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,7235,stop,908,202,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E025-run3-seed20260822.json,
EXT_E025,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,8175,stop,908,202,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E025-run4-seed20260823.json,
EXT_E025,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,8499,stop,908,202,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E025-run5-seed20260824.json,
EXT_E026,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,7846,stop,902,227,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E026-run1-seed20260820.json,
EXT_E026,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,6689,stop,902,221,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E026-run2-seed20260821.json,
EXT_E026,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,5664,stop,902,182,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E026-run3-seed20260822.json,
EXT_E026,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,5998,stop,902,196,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E026-run4-seed20260823.json,
EXT_E026,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,6857,stop,902,217,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E026-run5-seed20260824.json,
EXT_E027,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,8222,stop,920,235,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E027-run1-seed20260820.json,
EXT_E027,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,7531,stop,920,234,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E027-run2-seed20260821.json,
EXT_E027,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,7346,stop,920,234,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E027-run3-seed20260822.json,
EXT_E027,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,7603,stop,920,236,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E027-run4-seed20260823.json,
EXT_E027,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,7236,stop,920,237,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E027-run5-seed20260824.json,
EXT_E028,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,9091,stop,934,254,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E028-run1-seed20260820.json,
EXT_E028,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,8119,stop,934,251,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E028-run2-seed20260821.json,
EXT_E028,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,7968,stop,934,257,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E028-run3-seed20260822.json,
EXT_E028,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,7260,stop,934,224,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E028-run4-seed20260823.json,
EXT_E028,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,7133,stop,934,224,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E028-run5-seed20260824.json,
EXT_E029,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,6976,stop,922,184,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E029-run1-seed20260820.json,
EXT_E029,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,6821,stop,922,208,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E029-run2-seed20260821.json,
EXT_E029,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,5988,stop,922,184,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E029-run3-seed20260822.json,
EXT_E029,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,6605,stop,922,208,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E029-run4-seed20260823.json,
EXT_E029,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,8831,stop,922,289,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E029-run5-seed20260824.json,
EXT_E030,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,8027,stop,910,226,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E030-run1-seed20260820.json,
EXT_E030,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,7471,stop,910,227,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E030-run2-seed20260821.json,
EXT_E030,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,6023,stop,910,187,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E030-run3-seed20260822.json,
EXT_E030,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,7360,stop,910,230,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E030-run4-seed20260823.json,
EXT_E030,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,7338,stop,910,223,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E030-run5-seed20260824.json,
